1/eta,cbeta,beta,meansize,msd,sample,temperature,linker_length,linker_conc,pc1,pc2,pc3,run_index
0.124522121,0.13031642,0.193590246,9.354124345,1.667441466,0,20,0,0,2.349849363,0.690162026,-0.04858994,1
0.150638083,0.088439963,0.206213963,9.354124345,1.667441466,0,25,0,0,2.801560158,0.557474754,-0.269322165,1
0.36929365,0.062253408,0.208403132,9.354124345,1.667441466,0,30,0,0,3.375490648,0.269163881,-0.081767788,1
0.743929884,0.056667525,0.188653826,9.354124345,1.667441466,0,35,0,0,3.492618068,-0.108932376,0.296733352,1
0.002857331,0.850293642,0.084257416,9.438980023,2.006454644,11,20,5,1,-1.312182014,0.858229764,-0.026740088,1
0.001956834,0.63052128,0.098042501,9.438980023,2.006454644,11,25,5,1,-1.109260884,0.842147417,-0.463038645,1
0.002711581,0.515104093,0.109468125,9.438980023,2.006454644,11,30,5,1,-0.746448178,0.824112184,-0.500670528,1
0.0052028,0.384606117,0.10810987,9.438980023,2.006454644,11,35,5,1,-0.333233378,0.547291659,-0.370269095,1
0.006203898,0.426716148,0.06167237,10.53938628,1.9075533,12,20,5,10,-0.794945229,-0.008730962,0.038174318,1
0.005910495,0.344389638,0.074554222,10.53938628,1.9075533,12,25,5,10,-0.541666414,0.006450899,-0.188474504,1
0.008935251,0.375432042,0.070190278,10.53938628,1.9075533,12,30,5,10,-0.496912876,-0.012576679,0.080267688,1
0.003601372,0.587847718,0.059586614,10.53938628,1.9075533,12,35,5,10,-1.222844825,0.236446796,-0.005564873,1
0.001034758,2.344124535,0.01873922,12.29334457,1.598758309,13,20,5,100,-2.993638888,0.800773776,0.495607033,1
0.001091244,1.387065474,0.017457671,12.29334457,1.598758309,13,25,5,100,-2.633700829,0.387098262,0.206402539,1
0.002346478,0.846618605,0.014952903,12.29334457,1.598758309,13,30,5,100,-2.055686156,-0.06308502,0.272691971,1
0.003629274,0.607740278,0.004987236,12.29334457,1.598758309,13,35,5,100,-1.775950306,-0.471794253,0.328138228,1
0.055551359,0.196268255,0.149816952,10.12385273,1.728395652,22,20,10,10,1.361841047,0.458746749,0.076939296,1
0.056054012,0.167628786,0.124103122,10.12385273,1.728395652,22,25,10,10,1.220144501,-0.005083972,0.130482936,1
0.183964089,0.120509211,0.082266908,10.12385273,1.728395652,22,30,10,10,1.452519935,-0.886152218,0.715660176,1
0.243892266,0.107846977,0.236869148,10.12385273,1.728395652,22,35,10,10,3.137011629,1.08822548,-0.098958614,1
0.001252304,1.335519547,0.004040528,7.542617798,1.802707072,23,20,10,100,-2.69075528,0.17028647,0.323036183,1
0.001873862,0.885923752,0.020119997,7.542617798,1.802707072,23,25,10,100,-2.115021795,0.053949605,0.167100684,1
0.003865573,0.757208375,0.080230486,7.542617798,1.802707072,23,30,10,100,-1.166908774,0.698910567,0.064968994,1
0.011969553,0.438229037,0.116260245,7.542617798,1.802707072,23,35,10,100,-0.048136885,0.703796204,0.048767634,1
0.006348017,0.327424579,0.070113265,8.344019044,2.159523642,31,20,15,1,-0.525842303,-0.09534885,-0.16115314,1
0.008455823,0.260654147,0.08349716,8.344019044,2.159523642,31,25,15,1,-0.140358402,-0.104101257,-0.244002048,1
